Site,Date,Turbidity(NTU) at 12AM,Turbidity(NTU) at 4AM,Turbidity(NTU) at 8AM,Turbidity(NTU) at 12PM,Turbidity(NTU) at 4PM,Turbidity(NTU) at 8PM,Average 24hrTurbidity(NTU),"Coliform, Fecal(fc/100mL)"
DEL18DT,2020-01-21,0.7,0.7,0.7,0.7,0.7,0.6,0.68,E2
DEL18DT,2020-01-16,0.5,0.55,0.6,0.7,0.65,0.65,0.61,<1
DEL18DT,2020-01-25,0.8,0.85,0.8,1,1.1,0.85,0.9,<1
DEL18DT,2020-01-05,0.75,0.75,0.65,0.7,0.7,0.75,0.72,<1
DEL18DT,2020-01-26,0.85,0.8,0.7,0.85,0.75,0.8,0.79,E3
DEL18DT,2020-01-19,0.6,0.65,0.7,0.65,0.65,0.65,0.65,E4
DEL18DT,2020-01-03,0.7,0.7,0.7,0.65,0.65,0.7,0.68,E5
DEL18DT,2020-01-15,0.6,0.6,0.6,0.6,0.6,0.6,0.6,E3
DEL18DT,2020-01-08,0.6,0.65,0.65,0.65,0.75,0.75,0.68,E3
DEL18DT,2020-01-02,0.65,0.65,0.7,0.75,0.75,0.7,0.7,E1
DEL18DT,2020-01-22,0.6,0.6,0.6,0.6,0.6,0.6,0.6,E2
DEL18DT,2020-01-10,0.65,0.65,0.65,0.6,0.65,0.6,0.63,E7
DEL18DT,2020-01-31,0.7,0.75,0.65,0.7,0.65,0.7,0.69,<1
DEL18DT,2020-01-29,0.8,0.75,0.8,0.75,0.75,0.75,0.77,<1
DEL18DT,2020-01-20,0.75,0.65,0.7,0.7,0.75,0.75,0.72,E6
DEL18DT,2020-01-24,0.75,0.6,0.65,0.7,0.8,0.75,0.71,E4
DEL18DT,2020-01-11,0.65,0.6,0.6,0.65,0.7,0.7,0.65,<1
DEL18DT,2020-01-14,0.65,0.65,0.6,0.6,0.6,0.6,0.62,E1
DEL18DT,2020-01-23,0.55,0.5,0.7,0.6,0.6,0.6,0.59,E2
DEL18DT,2020-01-09,0.7,0.7,0.75,0.6,0.65,0.65,0.68,<1
DEL18DT,2020-01-07,0.65,0.65,0.7,0.7,0.65,0.7,0.68,E1
DEL18DT,2020-01-30,0.7,0.65,0.7,0.6,0.65,0.7,0.67,E1
