Site,Date,Turbidity(NTU) at 12AM,Turbidity(NTU) at 4AM,Turbidity(NTU) at 8AM,Turbidity(NTU) at 12PM,Turbidity(NTU) at 4PM,Turbidity(NTU) at 8PM,Average 24hrTurbidity(NTU),"Coliform, Fecal(fc/100mL)"
DEL18DT,2020-06-07,0.85,0.8,0.85,0.75,0.7,0.85,0.8,E6
DEL18DT,2020-06-21,0.8,0.8,0.75,0.75,0.8,0.8,0.78,<1
DEL18DT,2020-06-28,0.85,0.75,0.75,0.8,0.9,0.85,0.82,E2
DEL18DT,2020-06-25,0.8,0.8,0.8,0.85,0.8,0.85,0.82,E1
DEL18DT,2020-06-14,0.8,0.8,0.75,0.8,0.85,0.9,0.82,E2
DEL18DT,2020-06-04,0.75,0.8,0.75,0.85,0.85,0.8,0.8,E2
DEL18DT,2020-06-13,0.7,0.75,0.7,0.75,0.85,0.8,0.76,E1
DEL18DT,2020-06-26,0.85,0.85,0.8,0.8,0.85,0.8,0.83,E1
DEL18DT,2020-06-11,0.8,0.75,0.8,0.85,0.7,0.85,0.79,E1
DEL18DT,2020-06-20,0.75,0.75,0.7,0.75,0.8,0.8,0.76,<1
DEL18DT,2020-06-10,0.8,0.75,0.7,0.8,0.85,0.8,0.78,<1
DEL18DT,2020-06-06,0.8,0.8,0.75,0.85,0.85,0.9,0.83,E7
DEL18DT,2020-06-02,0.8,0.85,0.85,0.75,0.75,0.85,0.81,E2
DEL18DT,2020-06-01,0.85,0.8,0.8,0.8,0.8,0.8,0.81,E2
DEL18DT,2020-06-09,0.85,0.8,0.8,0.75,0.8,0.8,0.8,<1
DEL18DT,2020-06-05,0.8,0.7,0.75,0.7,0.75,0.75,0.74,E3
DEL18DT,2020-06-18,0.75,0.9,0.65,0.8,0.8,0.8,0.78,E1
DEL18DT,2020-06-29,0.85,0.85,0.85,0.75,0.75,0.75,0.8,E1
DEL18DT,2020-06-23,0.8,0.8,0.75,0.8,0.8,0.9,0.81,E1
DEL18DT,2020-06-12,0.75,0.8,0.85,0.7,0.7,0.75,0.76,E3
DEL18DT,2020-06-08,0.8,0.8,0.75,0.8,0.9,0.85,0.82,E2
DEL18DT,2020-06-30,0.8,0.8,0.85,0.7,0.75,0.75,0.78,E2
DEL18DT,2020-07-12,0.7,0.8,0.7,0.8,0.75,0.75,0.75,E2
DEL18DT,2020-07-22,0.8,0.85,0.75,0.8,0.85,0.9,0.83,<1
DEL18DT,2020-07-25,0.9,0.85,0.85,0.85,0.85,0.9,0.87,<1
DEL18DT,2020-07-27,0.9,0.9,1,1,1,1,0.97,E1
DEL18DT,2020-07-01,0.75,0.8,0.8,0.75,0.8,0.85,0.79,<1
DEL18DT,2020-07-09,0.75,0.75,0.8,0.8,0.85,0.7,0.78,E1
DEL18DT,2020-07-02,0.8,0.7,0.75,0.8,0.8,0.85,0.78,<1
DEL18DT,2020-07-16,0.8,0.8,0.85,0.7,0.8,0.75,0.78,<1
DEL18DT,2020-07-10,0.85,0.7,0.85,0.8,0.8,0.8,0.8,<1
DEL18DT,2020-07-04,0.7,0.75,0.75,0.8,0.75,0.75,0.75,E1
DEL18DT,2020-07-05,0.7,0.7,0.8,0.9,0.9,0.8,0.8,<1
DEL18DT,2020-07-30,0.95,0.9,0.9,0.8,0.85,0.85,0.88,<1
DEL18DT,2020-07-03,0.85,0.8,0.8,0.8,0.75,0.7,0.78,E2
DEL18DT,2020-07-11,0.7,0.75,0.75,0.7,0.65,0.75,0.72,E2
DEL18DT,2020-07-15,0.75,0.7,0.75,0.7,0.75,0.75,0.73,E1
DEL18DT,2020-07-08,0.7,0.7,0.65,0.75,0.65,0.65,0.68,<1
DEL18DT,2020-07-06,0.75,0.75,0.85,0.9,0.8,0.85,0.82,E1
DEL18DT,2020-07-29,0.9,0.95,0.85,0.95,0.95,0.95,0.93,E1
DEL18DT,2020-07-07,0.75,0.85,0.85,0.75,0.75,0.7,0.78,E2
DEL18DT,2020-07-23,0.8,0.8,0.85,0.9,0.9,0.85,0.85,E2
DEL18DT,2020-07-21,0.9,0.8,0.85,0.75,0.9,0.8,0.83,<1
DEL18DT,2020-07-19,0.8,0.8,0.85,0.85,0.85,0.85,0.83,E1
DEL18DT,2020-07-13,0.8,0.75,0.7,0.75,0.75,0.75,0.75,<1
DEL18DT,2020-07-28,0.95,0.85,0.95,0.95,0.95,0.95,0.93,<1
DEL18DT,2020-07-20,0.85,1,0.9,0.85,0.85,0.85,0.88,<1
DEL18DT,2020-07-18,0.7,0.75,0.75,0.85,0.8,0.8,0.78,E1
DEL18DT,2020-07-31,0.9,0.85,0.85,0.8,0.85,0.85,0.85,E1
DEL18DT,2020-07-17,0.85,0.8,0.8,0.7,0.7,0.75,0.77,E1
DEL18DT,2020-07-26,0.9,0.85,0.85,1,1,0.9,0.92,E1
DEL18DT,2020-07-14,0.7,0.85,0.75,0.7,0.7,0.8,0.75,<1
DEL18DT,2020-07-24,0.85,0.9,0.9,0.85,0.8,0.85,0.86,E3
DEL18DT,2020-08-28,0.65,0.8,0.75,0.7,0.75,0.7,0.73,<1
DEL18DT,2020-08-02,0.85,0.85,0.85,0.8,0.85,0.8,0.83,<1
DEL18DT,2020-08-08,0.65,0.6,0.6,0.65,0.8,0.75,0.68,<1
DEL18DT,2020-08-06,0.75,0.75,0.75,0.85,0.7,0.7,0.75,E1
DEL18DT,2020-08-09,0.8,0.8,0.75,0.75,0.8,0.7,0.77,<1
DEL18DT,2020-08-10,0.8,0.75,0.75,0.7,0.7,0.75,0.74,E1
DEL18DT,2020-08-25,0.8,0.75,0.75,0.7,0.7,0.75,0.74,E1
DEL18DT,2020-08-24,0.7,0.7,0.7,0.7,0.75,0.75,0.72,<1
DEL18DT,2020-08-05,0.65,0.8,0.7,0.85,0.9,0.75,0.78,55
DEL18DT,2020-08-07,0.65,0.7,0.65,0.65,0.6,0.6,0.64,E1
DEL18DT,2020-08-27,0.75,0.75,0.7,0.65,0.75,0.9,0.75,<1
DEL18DT,2020-08-14,0.75,0.7,0.7,0.65,0.7,0.65,0.69,E1
DEL18DT,2020-08-17,0.7,0.65,0.65,0.7,0.75,0.7,0.69,<1
DEL18DT,2020-08-15,0.65,0.65,0.65,0.65,0.6,0.65,0.64,<1
DEL18DT,2020-08-12,0.75,0.7,0.65,0.65,0.7,0.75,0.7,E2
DEL18DT,2020-08-30,0.8,0.8,0.75,0.8,0.7,0.8,0.78,<1
DEL18DT,2020-08-21,0.65,0.65,0.65,0.6,0.65,0.7,0.65,<1
DEL18DT,2020-08-04,0.85,0.8,0.85,0.85,0.8,0.75,0.82,E1
DEL18DT,2020-08-23,0.7,0.7,0.65,0.7,0.7,0.7,0.69,<1
DEL18DT,2020-08-20,0.65,0.7,0.7,0.65,0.65,0.65,0.67,E1
DEL18DT,2020-08-18,0.7,0.7,0.7,0.7,0.7,0.75,0.71,E1
DEL18DT,2020-08-13,0.7,0.7,0.7,0.8,0.7,0.7,0.72,E2
DEL18DT,2020-08-01,0.85,0.8,0.8,0.9,0.9,0.9,0.86,<1
DEL18DT,2020-08-19,0.7,0.7,0.65,0.8,0.7,0.7,0.71,E1
DEL18DT,2020-08-11,0.7,0.7,0.7,0.8,0.8,0.65,0.73,E3
DEL18DT,2020-08-31,0.65,0.65,0.7,0.7,0.7,0.65,0.68,<1
DEL18DT,2020-08-29,0.7,0.65,0.7,0.7,0.8,0.85,0.73,E2
DEL18DT,2020-08-26,0.7,0.7,0.7,0.7,0.8,0.75,0.73,E1
DEL18DT,2020-08-22,0.65,0.7,0.6,0.65,0.7,0.7,0.67,<1
DEL18DT,2020-08-03,0.85,0.85,0.9,0.85,0.85,0.85,0.86,E2
DEL18DT,2020-08-16,0.65,0.65,0.6,0.65,0.65,0.65,0.64,E1
DEL18DT,2020-11-26,0.8,0.75,0.75,0.75,0.85,0.9,0.8,E3
DEL18DT,2020-11-28,0.75,0.75,0.75,0.8,0.85,0.8,0.78,<1
DEL18DT,2020-11-20,0.95,0.9,0.9,0.85,0.8,0.8,0.87,<1
DEL18DT,2020-11-12,0.9,1.1,1,0.95,0.85,0.8,0.93,E5
DEL18DT,2020-11-29,0.75,0.75,0.75,0.75,0.75,0.75,0.75,E2
DEL18DT,2020-11-06,0.85,0.9,0.8,0.95,0.85,0.85,0.87,E4
DEL18DT,2020-11-11,0.85,0.8,1.2,0.9,0.8,0.95,0.92,E4
DEL18DT,2020-11-04,0.7,0.7,0.8,0.75,0.9,0.75,0.77,E2
DEL18DT,2020-11-27,0.75,0.75,0.8,0.7,0.75,0.75,0.75,E1
DEL18DT,2020-11-30,0.75,0.75,0.75,0.75,0.7,0.75,0.74,E1
DEL18DT,2020-11-16,0.7,0.85,0.85,1,1,0.85,0.88,E6
DEL18DT,2020-11-19,0.7,0.65,0.75,0.75,0.9,0.95,0.78,E1
DEL18DT,2020-11-01,0.7,0.7,0.7,0.85,0.8,0.8,0.76,E4
DEL18DT,2020-11-14,0.7,0.7,0.75,0.75,0.75,0.75,0.73,E2
DEL18DT,2020-11-18,0.8,0.75,0.75,0.7,0.75,0.8,0.76,E1
DEL18DT,2020-11-02,0.9,0.8,0.85,0.95,0.7,0.7,0.82,E5
DEL18DT,2020-11-21,0.8,0.85,0.9,0.85,0.75,0.7,0.81,E1
DEL18DT,2020-11-09,0.75,0.75,0.75,0.85,0.8,0.8,0.78,E2
DEL18DT,2020-11-17,0.8,0.85,0.85,0.8,0.75,0.8,0.81,E1
DEL18DT,2020-11-08,0.85,0.85,0.8,0.75,0.75,0.75,0.79,E1
DEL18DT,2020-11-22,0.85,0.8,0.75,0.9,0.75,1,0.84,E3
DEL18DT,2020-11-25,0.7,0.7,0.7,0.7,0.75,0.8,0.73,<1
DEL18DT,2020-11-07,0.75,0.85,0.75,0.8,0.8,0.8,0.79,E2
DEL18DT,2020-11-10,0.85,0.75,0.75,0.75,0.8,0.8,0.78,<1
DEL18DT,2015-05-27,0.8,0.95,0.95,1.1,0.95,0.9,0.94,<1
DEL18DT,2015-08-28,0.7,0.65,0.65,0.7,0.75,0.8,0.71,<1
DEL18DT,2015-08-15,0.6,0.55,0.55,0.5,0.6,0.55,0.56,<1
DEL18DT,2015-08-27,0.7,0.7,0.75,0.65,0.8,0.8,0.73,1
DEL18DT,2015-05-31,0.95,0.85,0.85,0.8,0.85,0.85,0.86,<1
DEL18DT,2015-08-31,0.8,0.8,0.8,0.6,0.65,0.7,0.73,<1
DEL18DT,2015-08-16,0.55,0.5,0.6,0.5,0.5,0.5,0.53,<1
DEL18DT,2015-09-04,0.7,0.65,0.85,0.7,0.65,0.6,0.69,<1
DEL18DT,2015-05-11,1,1.1,0.95,1,1.1,1.1,1.04,<1
DEL18DT,2015-05-13,0.9,1.1,0.95,0.9,1,0.95,0.97,1
DEL18DT,2015-09-09,0.8,0.75,0.6,,,,0.72,
DEL18DT,2015-05-20,1,0.85,0.95,1,1,0.85,0.94,3
DEL18DT,2015-09-06,0.8,0.75,0.7,0.65,0.85,0.8,0.76,<1
DEL18DT,2015-08-18,0.7,0.7,0.7,0.6,0.55,0.6,0.64,<1
DEL18DT,2015-07-11,,0.65,0.7,0.55,0.55,0.55,0.6,1
DEL18DT,2015-08-24,0.75,0.85,0.75,0.8,0.75,0.75,0.78,<1
DEL18DT,2015-08-22,0.8,0.8,0.75,0.55,0.6,0.6,0.68,<1
DEL18DT,2015-08-23,0.65,0.6,0.65,0.8,0.85,0.85,0.73,<1
DEL18DT,2015-05-14,1.1,1,1,0.95,0.95,0.95,0.99,<1
DEL18DT,2015-08-25,0.85,0.85,0.75,0.6,0.85,0.7,0.77,1
DEL18DT,2015-09-08,0.75,0.75,0.7,0.65,0.75,0.8,0.73,<1
DEL18DT,2015-08-20,0.7,0.6,0.6,0.6,0.7,0.75,0.66,<1
DEL18DT,2015-09-07,0.7,0.8,0.75,0.7,0.75,0.8,0.75,<1
DEL18DT,2015-06-01,0.8,0.75,0.8,0.9,0.9,0.85,0.83,7
DEL18DT,2015-08-17,0.65,0.55,0.75,0.65,0.65,0.75,0.67,1
DEL18DT,2015-08-12,0.65,0.75,0.65,0.7,0.6,0.95,0.72,<1
DEL18DT,2015-05-29,0.85,0.95,1,0.95,0.9,0.95,0.93,2
DEL18DT,2015-08-19,0.55,0.6,0.65,0.6,0.6,0.65,0.61,<1
DEL18DT,2015-08-13,0.7,0.6,0.7,0.9,0.7,0.55,0.69,<1
DEL18DT,2015-08-26,0.7,0.8,0.8,0.65,0.7,0.75,0.73,<1
DEL18DT,2015-05-26,0.95,0.8,0.85,0.95,0.95,0.9,0.9,<1
DEL18DT,2015-09-05,0.65,0.7,0.65,0.75,0.75,0.7,0.7,1
DEL18DT,2015-06-03,0.95,0.95,0.9,0.7,0.75,0.75,0.83,3
DEL18DT,2015-09-01,0.65,0.6,0.7,0.85,0.8,0.75,0.73,<1
DEL18DT,2015-08-21,0.65,0.7,0.65,0.75,0.8,0.75,0.72,<1
DEL18DT,2015-08-30,0.7,0.65,0.65,0.85,0.8,0.8,0.74,<1
DEL18DT,2015-08-14,0.85,0.65,0.6,0.55,0.55,0.6,0.63,<1
DEL18DT,2015-05-22,1,0.9,0.95,0.9,1,1,0.96,1
DEL18DT,2015-09-03,0.65,0.65,0.8,0.7,0.75,0.75,0.72,1
DEL18DT,2015-05-30,0.95,0.95,0.95,0.85,0.85,0.85,0.9,<1
DEL18DT,2015-09-02,0.8,0.85,0.85,0.8,0.85,0.85,0.83,<1
DEL18DT,2015-05-17,0.9,0.9,0.85,0.8,0.85,0.85,0.86,2
DEL18DT,2015-06-02,0.9,0.9,0.9,0.85,0.95,0.95,0.91,4
DEL18DT,2015-08-29,0.8,0.75,0.7,0.85,0.65,0.7,0.74,1
DEL18DT,2015-05-23,0.85,1,0.9,1.1,0.95,1,0.97,<1
DEL18DT,2015-05-21,1,0.9,1,0.9,0.95,1,0.96,1
DEL18DT,2015-05-12,1.1,1.1,1.1,0.9,0.95,1.1,1.04,1
DEL18DT,2015-05-19,0.95,1,1,0.9,0.85,0.8,0.92,2
DEL18DT,2015-09-30,0.6,0.75,0.7,0.6,0.6,0.6,0.64,3
DEL18DT,2015-05-18,0.9,0.8,0.85,1,0.95,1,0.92,<1
DEL18DT,2015-09-19,0.7,0.75,0.75,0.55,0.6,0.65,0.67,1
DEL18DT,2015-05-24,0.9,1,0.9,1,0.95,1,0.96,1
DEL18DT,2015-05-28,0.9,0.95,0.9,1,0.95,1,0.95,2
DEL18DT,2015-09-16,0.7,0.7,0.65,0.65,0.65,0.65,0.67,<1
DEL18DT,2015-09-22,0.6,0.6,0.65,0.7,0.7,0.75,0.67,1
DEL18DT,2015-09-18,0.75,0.75,0.8,0.7,0.7,0.8,0.75,2
DEL18DT,2015-05-15,1,1,1,0.9,0.95,1,0.98,<1
DEL18DT,2015-05-16,1.1,1,1,0.75,0.85,0.95,0.94,<1
DEL18DT,2015-09-12,0.75,0.7,0.7,0.65,0.7,0.65,0.69,1
DEL18DT,2015-05-25,0.9,0.95,1,0.75,0.8,0.9,0.88,<1
DEL18DT,2015-06-17,0.9,0.95,0.9,0.9,1,1,0.94,3
DEL18DT,2017-01-04,0.65,0.6,0.6,0.65,0.65,0.6,0.63,<1
DEL18DT,2015-06-16,0.9,0.95,1,0.85,0.9,0.9,0.92,<1
DEL18DT,2015-06-21,0.85,0.8,0.85,1,1,1,0.92,2
DEL18DT,2015-06-09,0.9,0.8,0.95,0.8,0.8,0.9,0.86,<1
DEL18DT,2015-06-29,0.75,0.85,0.85,1.1,0.8,0.95,0.88,1
DEL18DT,2015-06-07,0.8,0.8,0.8,0.8,0.9,0.95,0.84,2
DEL18DT,2015-06-24,0.95,0.9,0.9,1,0.95,0.95,0.94,<1
DEL18DT,2015-09-27,0.5,0.55,0.55,0.65,0.65,0.6,0.58,<1
DEL18DT,2015-09-10,0.65,0.65,0.65,0.75,0.7,0.7,0.68,<1
DEL18DT,2015-07-05,0.65,0.65,0.7,0.7,0.7,0.7,0.68,<1
DEL18DT,2015-06-05,0.8,0.9,0.85,0.85,0.85,0.8,0.84,8
DEL18DT,2015-05-10,,1,0.95,0.95,1,1,0.98,<1
DEL18DT,2015-06-26,0.95,0.9,0.8,0.75,0.85,0.95,0.87,<1
DEL18DT,2015-06-08,1,1,1,0.85,0.85,0.75,0.91,1
DEL18DT,2015-06-10,0.8,0.9,0.8,0.95,1,0.9,0.89,1
DEL18DT,2015-06-14,0.8,0.85,0.85,0.85,0.75,0.85,0.83,<1
DEL18DT,2015-07-07,0.7,0.85,0.8,0.7,0.7,0.7,0.74,1
DEL18DT,2015-06-22,0.95,1,1,1,0.85,0.85,0.94,<1
DEL18DT,2015-06-11,0.95,1,1,1,0.85,1,0.97,<1
DEL18DT,2015-06-18,1,1,0.95,1,0.9,1.1,0.99,<1
DEL18DT,2015-07-04,0.85,0.75,0.75,0.6,0.6,0.7,0.71,1
DEL18DT,2015-06-27,0.95,0.85,0.85,0.7,0.7,0.7,0.79,2
DEL18DT,2015-06-15,0.85,0.85,0.9,1,0.85,0.9,0.89,10
DEL18DT,2015-06-30,0.9,1,0.85,0.9,0.9,0.9,0.91,1
DEL18DT,2015-07-01,0.95,0.85,0.9,0.75,0.75,0.85,0.84,2
DEL18DT,2015-06-28,0.7,0.65,0.7,0.65,0.7,0.7,0.68,<1
DEL18DT,2015-06-23,0.85,0.85,0.9,0.95,1,1,0.93,<1
DEL18DT,2015-06-13,0.95,0.95,0.85,0.75,0.75,0.75,0.83,1
DEL18DT,2015-06-20,0.95,0.95,0.95,0.75,0.8,0.85,0.88,3
DEL18DT,2015-06-19,1,1,0.95,1,0.9,1,0.98,2
DEL18DT,2015-06-25,0.9,1,1,0.85,0.85,0.95,0.93,1
DEL18DT,2015-07-06,0.75,0.7,0.75,0.65,0.7,0.8,0.73,<1
DEL18DT,2015-06-12,0.95,0.9,0.9,0.9,0.95,0.95,0.93,4
DEL18DT,2015-07-02,0.75,0.8,0.75,0.85,0.65,0.75,0.76,1
DEL18DT,2015-06-04,0.85,0.85,0.85,0.8,0.85,0.85,0.84,3
DEL18DT,2015-07-09,0.8,0.65,0.7,,,,0.72,
DEL18DT,2015-07-03,0.7,0.75,0.75,0.7,0.75,0.75,0.73,<1
DEL18DT,2015-06-06,0.8,0.85,0.85,0.9,0.75,0.8,0.83,1
DEL18DT,2015-06-17,0.9,0.95,0.9,0.9,1,1,0.94,3
DEL18DT,2015-08-09,0.55,0.5,0.5,0.5,0.55,0.55,0.53,<1
DEL18DT,2015-06-16,0.9,0.95,1,0.85,0.9,0.9,0.92,<1
DEL18DT,2015-06-21,0.85,0.8,0.85,1,1,1,0.92,2
DEL18DT,2015-06-29,0.75,0.85,0.85,1.1,0.8,0.95,0.88,1
DEL18DT,2015-08-11,0.6,0.75,0.75,0.65,0.6,0.65,0.67,<1
DEL18DT,2015-06-24,0.95,0.9,0.9,1,0.95,0.95,0.94,<1
DEL18DT,2015-07-08,0.75,0.75,0.75,0.65,1.2,0.7,0.8,<1
DEL18DT,2015-07-21,0.6,0.55,0.55,0.45,0.55,0.55,0.54,<1
DEL18DT,2015-08-01,0.65,0.55,0.6,0.55,0.55,0.55,0.58,<1
DEL18DT,2015-07-28,0.55,0.55,0.55,0.7,0.6,0.65,0.6,<1
DEL18DT,2015-07-18,0.65,0.6,0.6,0.65,0.6,0.6,0.62,<1
DEL18DT,2017-01-11,0.6,0.65,0.7,0.65,0.65,0.6,0.64,1
DEL18DT,2015-07-12,0.6,0.6,0.6,0.65,0.7,0.65,0.63,4
DEL18DT,2015-08-04,0.9,0.75,0.85,0.7,0.75,0.7,0.78,<1
DEL18DT,2015-08-03,0.75,0.7,0.7,0.9,0.8,0.9,0.79,1
DEL18DT,2015-07-30,0.6,0.55,0.7,0.6,0.55,0.65,0.61,1
DEL18DT,2015-06-26,0.95,0.9,0.8,0.75,0.85,0.95,0.87,<1
DEL18DT,2015-07-20,0.45,0.5,0.65,0.6,0.55,0.6,0.56,<1
DEL18DT,2017-01-10,0.7,0.65,0.6,0.65,0.6,0.6,0.63,1
DEL18DT,2017-01-14,0.7,0.65,0.65,0.65,0.7,0.65,0.67,1
DEL18DT,2017-01-24,0.85,1,1,0.9,0.9,0.85,0.92,<1
DEL18DT,2015-08-10,0.6,0.55,0.55,0.6,0.75,0.7,0.63,<1
DEL18DT,2015-06-22,0.95,1,1,1,0.85,0.85,0.94,<1
DEL18DT,2015-07-23,0.6,0.65,0.65,0.55,0.95,0.55,0.66,<1
DEL18DT,2015-06-18,1,1,0.95,1,0.9,1.1,0.99,<1
DEL18DT,2017-01-21,0.6,0.65,0.7,0.75,0.75,0.7,0.69,1
DEL18DT,2015-06-27,0.95,0.85,0.85,0.7,0.7,0.7,0.79,2
DEL18DT,2017-01-22,0.7,0.65,0.7,0.7,1.1,0.8,0.78,<1
DEL18DT,2015-07-13,0.6,0.7,0.65,0.7,0.65,0.65,0.66,<1
DEL18DT,2017-01-13,0.6,0.65,0.65,0.65,0.7,0.65,0.65,<1
DEL18DT,2015-07-10,0.65,0.7,0.65,0.6,0.7,0.7,0.67,1
DEL18DT,2015-07-24,0.55,0.55,0.5,0.5,0.55,0.55,0.53,<1
DEL18DT,2015-06-15,0.85,0.85,0.9,1,0.85,0.9,0.89,10
DEL18DT,2015-08-05,0.75,0.85,0.8,0.8,0.7,0.85,0.79,1
DEL18DT,2015-07-17,0.65,0.65,0.65,0.6,0.7,0.6,0.64,1
DEL18DT,2015-08-02,0.6,0.7,0.75,0.75,0.8,0.8,0.73,3
DEL18DT,2015-06-30,0.9,1,0.85,0.9,0.9,0.9,0.91,1
DEL18DT,2015-08-07,0.75,0.8,0.75,0.6,0.65,0.75,0.72,<1
DEL18DT,2015-07-26,0.45,0.45,0.45,0.5,0.45,0.5,0.47,<1
DEL18DT,2017-01-27,0.75,0.7,0.75,0.75,0.75,0.7,0.73,1
DEL18DT,2015-07-27,0.55,0.5,0.55,0.55,0.55,0.55,0.54,<1
DEL18DT,2015-06-28,0.7,0.65,0.7,0.65,0.7,0.7,0.68,<1
DEL18DT,2015-06-23,0.85,0.85,0.9,0.95,1,1,0.93,<1
DEL18DT,2015-07-14,0.65,0.65,0.65,0.7,0.65,0.65,0.66,<1
DEL18DT,2015-06-14,,0.85,0.85,0.85,0.75,0.85,0.83,<1
DEL18DT,2015-06-20,0.95,0.95,0.95,0.75,0.8,0.85,0.88,3
DEL18DT,2015-08-08,0.6,0.85,0.6,0.45,0.5,0.55,0.59,<1
DEL18DT,2015-06-19,1,1,0.95,1,0.9,1,0.98,2
DEL18DT,2015-07-15,0.55,0.6,0.6,0.8,0.5,0.55,0.6,1
DEL18DT,2015-06-25,0.9,1,1,0.85,0.85,0.95,0.93,1
DEL18DT,2015-07-19,0.55,0.55,0.55,0.75,0.6,0.5,0.58,<1
DEL18DT,2015-07-22,0.55,0.55,0.5,0.55,0.6,0.6,0.56,<1
DEL18DT,2015-08-06,0.85,0.85,0.85,0.8,0.65,0.8,0.8,1
DEL18DT,2015-07-31,0.65,0.6,0.65,0.6,0.65,0.65,0.63,2
DEL18DT,2015-07-16,0.5,0.65,0.55,0.7,0.65,0.6,0.61,<1
DEL18DT,2015-07-25,0.6,0.55,0.5,0.4,0.5,0.45,0.5,2
DEL18DT,2015-09-26,0.65,0.65,0.6,0.55,0.5,0.5,0.58,1
DEL18DT,2015-09-23,0.7,0.7,0.7,0.65,0.6,0.65,0.67,<1
DEL18DT,2015-09-15,0.75,0.7,0.6,0.6,0.65,0.7,0.67,2
DEL18DT,2015-09-13,0.6,0.6,0.65,0.75,0.85,0.8,0.71,3
DEL18DT,2015-09-25,0.6,0.7,0.75,0.65,0.6,0.6,0.65,1
DEL18DT,2015-09-24,0.65,0.7,0.75,0.6,0.7,0.65,0.68,<1
DEL18DT,2015-09-11,0.75,0.8,0.75,0.7,0.75,0.7,0.74,3
DEL18DT,2015-09-29,0.75,0.75,0.8,0.75,0.6,0.7,0.73,2
DEL18DT,2015-09-20,0.65,0.65,0.6,0.65,0.65,0.65,0.64,1
DEL18DT,2015-09-21,0.65,0.6,0.7,0.6,0.55,0.55,0.61,<1
DEL18DT,2015-09-14,0.8,0.8,0.75,0.6,0.65,0.7,0.72,<1
DEL18DT,2015-09-28,0.9,0.7,0.75,0.75,0.75,0.75,0.77,<1
DEL18DT,2015-09-17,0.65,0.65,0.65,0.7,0.65,0.75,0.68,<1
DEL18DT,2015-10-26,0.65,0.7,0.7,0.6,0.55,0.65,0.64,<1
DEL18DT,2015-10-10,0.75,0.75,0.75,0.7,0.65,0.65,0.71,<1
DEL18DT,2015-10-16,0.75,0.75,0.7,0.6,0.7,0.7,0.7,<1
DEL18DT,2015-10-23,0.6,0.7,0.7,0.6,0.65,0.75,0.67,1
DEL18DT,2015-10-15,0.8,0.75,0.8,0.7,0.75,0.75,0.76,1
DEL18DT,2015-10-02,0.55,0.6,0.6,0.6,0.55,0.55,0.58,<1
DEL18DT,2015-10-20,0.6,0.55,0.65,0.6,0.65,0.6,0.61,1
DEL18DT,2015-10-17,0.65,0.7,0.65,0.6,0.6,0.6,0.63,3
DEL18DT,2015-10-28,0.55,0.55,0.65,0.8,0.9,0.85,0.72,<1
DEL18DT,2015-10-09,0.65,0.65,0.65,0.6,0.6,0.6,0.63,3
DEL18DT,2015-10-31,0.7,0.75,0.75,0.75,0.7,0.8,0.74,2
DEL18DT,2015-10-21,0.6,0.65,0.65,0.65,0.7,0.65,0.65,<1
DEL18DT,2015-10-25,0.6,0.6,0.6,0.6,0.7,0.7,0.63,<1
DEL18DT,2015-10-27,0.65,0.7,0.6,0.65,0.6,0.65,0.64,1
DEL18DT,2015-10-22,0.65,0.6,0.7,0.65,0.75,0.7,0.68,1
DEL18DT,2015-10-12,0.6,0.65,0.7,0.75,0.7,0.85,0.71,1
DEL18DT,2015-10-14,0.7,0.65,0.95,0.85,0.75,0.8,0.78,1
DEL18DT,2015-10-29,0.9,0.85,0.9,0.65,0.75,0.75,0.8,1
DEL18DT,2015-10-13,0.75,0.7,0.85,0.75,0.75,0.65,0.74,1
DEL18DT,2015-10-03,0.5,0.65,0.65,0.5,0.55,0.45,0.55,1
DEL18DT,2015-10-11,0.7,0.75,0.8,0.65,0.75,0.75,0.73,<1
DEL18DT,2015-10-04,0.5,0.5,0.55,0.65,0.6,0.65,0.58,<1
DEL18DT,2015-10-24,0.7,0.6,0.7,0.6,0.6,0.7,0.65,<1
DEL18DT,2015-10-30,0.75,0.75,0.85,0.8,0.85,0.85,0.81,4
DEL18DT,2015-10-06,0.6,0.6,0.7,0.65,0.7,0.65,0.65,2
DEL18DT,2015-10-05,0.65,0.6,0.6,0.6,0.55,0.6,0.6,<1
DEL18DT,2015-10-18,0.6,0.55,0.6,0.55,0.55,0.6,0.58,3
DEL18DT,2015-10-07,0.65,0.6,0.65,0.65,0.75,0.6,0.65,1
DEL18DT,2015-10-08,0.75,0.75,0.65,0.7,0.65,0.6,0.68,1
DEL18DT,2015-10-19,0.55,0.65,0.6,0.55,0.6,0.55,0.58,1
DEL18DT,2015-10-01,0.65,0.6,0.6,0.6,0.6,0.65,0.62,9
DEL18DT,2015-11-13,1,1,1,0.9,0.8,0.8,0.92,2
DEL18DT,2015-11-19,0.9,0.85,0.8,0.95,0.8,0.85,0.86,1
DEL18DT,2015-11-28,0.8,0.75,0.75,0.65,0.7,0.6,0.71,1
DEL18DT,2015-11-26,0.7,0.7,0.75,0.7,0.8,0.7,0.73,3
DEL18DT,2015-11-03,0.85,0.85,0.85,1,0.85,1,0.9,1
DEL18DT,2015-11-12,0.75,0.75,0.8,0.75,0.7,0.75,0.75,<1
DEL18DT,2015-11-30,0.7,0.7,0.75,0.75,0.65,0.7,0.71,2
