"","Source","Turbidity","Ecoli","Precipitation","Temperature"
"168","0",0.91,"<1",4.6,2.2
"169","6",0.91,"<1",10.2,1.7
"170","2",1.32,"E1",0,0
"171","2",1.32,"E1",0,0
"172","2",0.96,"<1",0,-5
"173","2",0.96,"<1",0,-5
"174","4",0.97,"E2",0,-2.8
"175","4",0.97,"E2",0,-2.8
"176","6",0.88,"<1",0,-5.6
"177","6",0.88,"<1",0,-5.6
"178","3",0.84,"<1",5.3,-1.7
"179","1",0.79,"<1",0,-4.4
"180","2",0.97,"<1",10.2,2.2
"181","0",0.85,"<1",0,-1.1
"182","0",0.84,"<1",0,5
"183","0",0.85,"<1",4.3,8.9
"184","1",1.03,"<1",2.8,10
"185","0",0.81,"<1",0,10.6
"186","0",0.77,"E1",0,16.7
"187","1",0.8,"<1",16,9.4
"188","1",0.71,"<1",0,13.3
"189","0",0.8,"E2",0,16.7
"190","4",0.81,"E2",16.3,15.6
"191","0",0.87,"E1",0,20.6
"192","2",0.8,"E1",0,13.3
"193","1",0.72,"<1",0,20
"194","2",0.68,"E1",28.4,23.3
"195","2",0.55,"E1",0,15
"196","2",0.63,"E5",0,20
"197","1",0.62,"E2",1,21.1
"198","0",0.73,"E9",0,16.7
"199","0",0.74,"E1",0,18.3
"200","1",0.75,"<1",0,21.1
"201","0",0.63,"E14",5.6,10.6
"202","2",0.64,"<1",0,16.7
"203","2",0.66,"E3",0,12.2
"204","3",0.68,"E5",2.3,16.7
"205","0",0.73,"E6",0,7.8
"206","1",0.65,"E2",0,1.7
"207","0",0.76,"E1",3.8,7.8
"208","0",0.69,"E3",0,5
"209","1",0.6,"<1",13,5
"210","3",0.67,"E1",0,2.2
"211","0",0.75,"<1",0,1.1
"212","1",0.83,"<1",6.9,8.3
"213","2",0.84,"E2",0,-5
"214","3",0.84,"E1",17,1.1
"215","3",0.78,"E2",1.3,-0.6
"216","0",0.72,"<1",0,-7.2
"217","5",0.68,"<1",0,-1.1
"218","4",0.63,"<1",0,-3.9
"219","6",0.69,"E5",0,-3.3
"220","2",0.7,"E1",0,-2.2
"221","3",0.71,"E8",0,-7.8
"222","7",0.81,"E6",5.3,0.6
"223","5",0.86,"E3",21.1,-0.6
"224","5",0.85,"E3",21.1,-0.6
